0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102
339.17477,336.71384,334.42477,332.0732,329.15915,326.2529,323.98727,321.66696,319.2607,316.89352,314.71384,312.8857,311.22946,309.21384,307.08102,305.0107,302.84665,300.6201,298.26852,296.03415,294.02634,292.4326,291.22165,290.28415,289.58884,289.2451,288.9951,289.4404,290.4326,291.29196,291.59665,291.54977,290.98727,290.15134,289.54196,289.3154,289.3154,289.5107,289.83884,290.21384,289.91696,289.3154,288.65134,288.21384,287.7607,287.0654,286.46384,285.97165,285.67477,285.5107,285.45602,285.29977,285.08102,285.04196,285.3154,286.1982,287.72165,289.1279,290.1279,290.40915,290.1279,290.40915,290.45602,290.04196,289.90915,290.0732,289.97165,289.53415,289.20602,289.08884,289.3701,289.8076,290.03415,290.08884,290.1201,290.21384,290.52634,291.0654,291.47165,291.5654,291.76852,292.2451,292.73727,293.1826,293.5107,294.03415,294.91696,295.2529,295.3076,294.90134,293.83884,292.65134,291.47165,290.3779,289.26852,288.1982,286.95602,285.59665,284.02634,281.7529,278.52634,275.6201,274.04196
338.2451,335.84665,333.45602,330.51852,326.51852,324.22165,322.36227,320.47165,318.40915,316.21384,313.96384,311.4951,309.0029,307.0732,305.5029,303.7607,301.77634,299.7451,297.59665,295.6982,294.04196,292.8857,291.95602,291.2451,290.7529,290.58102,290.8232,291.41696,292.26852,292.90134,293.1279,292.77634,291.95602,291.17477,290.73727,290.61227,290.83884,291.29977,291.6279,291.4951,291.1826,290.71384,290.17477,289.8154,289.26852,288.4482,288.1982,287.83102,287.54977,287.39352,287.4404,287.47165,287.2529,286.9951,287.22946,288.22946,289.76852,291.08884,291.89352,291.76852,290.92477,290.6826,290.3232,289.79196,289.76852,289.97946,290.04977,289.79977,289.58102,289.6904,289.90134,289.9951,289.89352,289.72946,289.85446,290.3701,290.71384,291.1201,291.3857,291.3701,291.33884,291.7451,292.2607,292.65134,292.95602,293.15134,293.26852,293.34665,293.3154,293.15915,292.65915,291.79196,290.97946,290.15134,289.29196,288.47165,287.66696,286.92477,285.89352,284.2451,281.9326,279.2529,276.4326
337.11227,334.52634,331.42477,327.89352,324.7451,322.33884,320.3857,318.5654,316.47165,314.11227,311.6904,309.47946,307.52634,305.98727,304.61227,302.90915,300.95602,299.04977,297.34665,295.90915,294.8076,293.97946,293.17477,292.6826,292.46384,292.5029,292.83102,293.29977,294.0732,294.79196,294.9404,294.39352,293.40915,292.64352,292.34665,292.6201,293.08102,293.2529,293.03415,292.5732,292.10446,291.6279,291.2607,291.1357,290.8154,290.22165,289.79977,289.53415,289.35446,289.28415,289.46384,289.48727,289.10446,288.6982,288.9326,289.97946,291.3857,292.5732,293.1826,292.6904,291.40915,290.86227,290.61227,290.39352,290.29977,290.4326,290.6826,290.59665,290.53415,290.7607,290.8701,290.7451,290.5107,290.3076,290.40134,290.7451,291.08884,291.39352,291.60446,291.58102,291.33884,291.3779,291.8701,292.33102,292.65134,292.77634,292.6904,292.45602,292.21384,292.2451,292.1279,291.7607,291.1982,290.47946,289.7529,289.01852,288.34665,287.86227,287.10446,285.90134,284.17477,282.22165,279.11227
335.59665,332.61227,329.3701,326.3154,323.33884,320.7607,318.3701,316.09665,314.15134,312.3701,310.54977,308.72946,307.08884,305.67477,304.11227,302.40134,300.71384,299.3154,298.27634,297.28415,296.6201,295.97165,295.4482,295.1982,295.04977,294.97946,295.09665,295.48727,296.1982,296.86227,296.9951,296.48727,295.58102,294.78415,294.73727,294.8232,294.83102,294.59665,294.15134,293.64352,293.22946,292.8779,292.6982,292.76852,292.5654,291.9482,291.4482,291.15915,291.02634,291.03415,291.11227,290.95602,290.4951,290.1904,290.52634,291.36227,292.39352,293.40134,293.8154,293.02634,291.71384,291.48727,291.70602,291.7607,291.71384,291.73727,291.79196,291.73727,291.66696,291.71384,291.73727,291.6357,291.60446,291.6357,291.8232,292.15915,292.42477,292.73727,292.83884,292.67477,292.09665,291.7607,291.8154,292.3076,292.71384,292.86227,292.91696,292.79196,292.54196,292.4326,292.42477,292.29977,291.97165,291.33102,290.4951,289.77634,289.2529,288.83102,288.40915,287.72946,286.4404,285.02634,283.11227
331.77634,329.3076,326.72165,323.92477,320.9951,318.59665,316.3701,314.6982,313.29196,312.02634,310.7529,309.40915,308.15915,306.72165,304.89352,303.0029,301.51852,300.4404,299.6357,299.1279,298.79977,298.8154,299.04977,298.10446,297.1904,296.95602,297.3779,298.04977,298.3857,298.40915,298.22946,297.6357,296.8779,296.40134,296.20602,296.1826,296.10446,295.83884,295.40134,294.9326,294.60446,294.40915,294.34665,294.3701,294.09665,293.52634,293.04196,292.79977,292.60446,292.4482,292.40134,292.15915,291.6357,291.71384,292.3154,292.9326,293.5107,293.97946,294.04196,293.11227,292.52634,293.14352,293.6357,293.78415,293.72165,293.66696,293.6201,293.27634,293.0107,292.84665,292.85446,292.8701,292.89352,292.9482,293.0576,293.33884,293.4951,293.6201,293.73727,293.6826,293.3779,292.91696,292.96384,293.26852,293.47946,293.5732,293.66696,293.60446,293.42477,293.22946,293.17477,293.1279,292.9404,292.4951,291.89352,291.26852,290.6357,290.1279,289.65134,289.15134,288.40134,287.1982,285.3154
328.8701,326.28415,323.9482,321.66696,319.98727,318.5732,317.0654,315.61227,314.28415,313.04196,311.72946,310.3154,308.9482,307.2451,305.3076,303.6826,302.60446,301.9951,301.5029,301.21384,301.29196,302.51852,302.04196,300.54977,299.34665,299.22165,299.72946,299.9326,299.7451,299.52634,299.10446,298.3779,297.65915,297.3076,297.33884,297.3154,297.2529,297.11227,296.8076,296.47946,296.2451,296.14352,296.0654,295.9326,295.73727,295.34665,294.96384,294.6357,294.23727,293.9326,293.7451,293.52634,293.51852,294.03415,294.84665,295.1904,294.97165,294.67477,294.86227,294.54196,294.1201,295.0654,295.51852,295.73727,295.7607,295.65915,295.4482,295.01852,294.5732,294.35446,294.36227,294.45602,294.39352,294.3232,294.2529,294.15915,294.0732,294.0732,294.1826,294.20602,294.22165,294.34665,294.5029,294.67477,294.6357,294.60446,294.67477,294.6357,294.4404,294.1826,294.09665,294.08884,293.98727,293.6279,293.08884,292.5576,292.01852,291.45602,290.91696,290.3779,289.76852,288.7451,286.4951
326.17477,324.46384,323.16696,322.22165,321.1201,319.78415,318.33102,316.8701,315.4482,313.90134,312.16696,310.51852,308.95602,307.40915,306.0107,305.04977,304.4951,304.16696,303.98727,304.21384,304.77634,304.34665,303.65915,302.54196,301.5654,301.3701,301.4951,301.51852,301.3701,301.09665,300.6826,299.90915,299.04196,298.52634,298.6357,298.6201,298.58102,298.5107,298.33884,298.1904,298.04196,297.9326,297.83102,297.61227,297.47165,297.29977,297.08884,296.70602,296.29977,295.95602,295.6826,295.58884,295.78415,296.36227,296.66696,296.3857,296.04977,296.36227,296.73727,296.4326,296.1279,297.0107,297.3701,297.47165,297.4951,297.46384,297.3779,296.91696,296.3779,296.04196,295.96384,296.03415,295.9951,295.84665,295.65915,295.39352,295.0732,294.7529,294.7529,294.8701,295.1904,295.65915,295.90134,295.85446,295.65915,295.54977,295.67477,295.76852,295.64352,295.40915,295.26852,295.1904,295.0107,294.6279,294.15134,293.64352,293.1279,292.65915,292.10446,291.33884,290.4326,289.2451,287.86227
325.29977,324.20602,323.3779,322.90134,322.3779,321.4326,320.23727,318.83102,317.1357,315.40915,313.64352,311.95602,310.3857,309.04977,308.0654,307.5029,307.0576,306.72946,306.6357,306.59665,306.2451,305.6982,304.96384,304.0576,303.45602,303.51852,303.5576,303.5732,303.4326,303.04977,302.3779,301.51852,300.73727,300.46384,300.58884,300.5732,300.5654,300.51852,300.3779,300.28415,300.14352,299.97946,299.6904,299.45602,299.41696,299.3076,299.0654,298.5107,297.67477,297.22165,296.9404,296.77634,297.10446,297.59665,297.92477,297.9482,298.15134,298.67477,298.72165,298.45602,298.6904,299.04977,299.23727,299.1826,299.02634,299.0107,299.03415,298.73727,298.26852,297.77634,297.5107,297.48727,297.34665,297.15915,296.9951,296.70602,296.3076,295.85446,295.78415,296.02634,296.4951,296.90134,296.9404,296.72165,296.5107,296.4326,296.54196,296.71384,296.79196,296.73727,296.54196,296.33884,296.1904,295.8154,295.36227,294.97946,294.3857,293.78415,293.0654,292.11227,291.0576,290.02634,289.0107
326.1904,325.39352,324.6982,324.35446,324.1904,323.42477,322.26852,320.84665,319.23727,317.6357,316.1982,314.7451,313.35446,312.1201,311.2529,310.5654,309.8857,309.20602,308.65134,308.23727,307.8154,307.15134,306.22165,305.3701,305.16696,305.40915,305.52634,305.54196,305.2451,304.65915,303.7529,302.79196,302.27634,302.15915,302.36227,302.4404,302.58102,302.6357,302.54977,302.3232,301.9326,301.4482,300.9482,300.6357,300.59665,300.47165,300.1357,299.28415,298.58102,298.41696,298.45602,298.67477,299.16696,299.65134,299.9951,299.95602,300.40915,300.76852,300.71384,300.7451,301.1357,301.0029,300.95602,300.95602,300.66696,300.5654,300.54977,300.4326,300.11227,299.66696,299.27634,298.9482,298.5576,298.20602,298.01852,297.89352,297.5576,297.0732,296.9482,297.20602,297.72165,298.0654,298.0576,297.83102,297.59665,297.6357,297.7607,298.0029,298.14352,298.22946,298.1201,297.86227,297.4951,296.9951,296.45602,296.0107,295.5654,295.0029,294.1826,293.03415,291.95602,291.33884,290.85446
327.8154,327.1826,326.46384,326.0576,326.0732,325.2451,324.0654,322.76852,321.47946,320.1904,318.97165,317.65134,316.28415,315.01852,314.11227,313.21384,312.3857,311.53415,310.70602,309.85446,309.02634,308.2529,307.53415,307.0576,307.04977,307.20602,307.1982,307.04196,306.72165,306.15134,305.42477,304.83102,304.5654,304.5732,304.64352,304.73727,304.79977,304.77634,304.66696,304.33884,303.8779,303.4482,303.15134,303.0654,302.92477,302.8232,302.35446,301.58102,301.0576,300.8701,300.65915,300.7607,301.02634,301.4482,301.7451,301.83102,302.27634,302.41696,302.33102,302.5107,302.6279,302.46384,302.2529,302.1357,301.97946,302.0029,302.08102,302.1201,301.8154,301.29196,300.86227,300.4404,299.9404,299.4951,299.27634,299.26852,299.11227,298.76852,298.6982,298.9482,299.33884,299.67477,300.08102,300.04977,299.8701,299.84665,299.85446,299.8857,300.09665,300.22946,300.02634,299.59665,299.0732,298.53415,297.9482,297.4482,297.01852,296.48727,295.58884,294.29977,293.08102,292.77634,292.7529
330.0107,329.34665,328.66696,328.7607,328.34665,327.5029,326.3857,325.16696,324.1201,322.95602,321.7529,320.4482,319.04196,317.71384,316.41696,315.42477,314.6201,313.7607,312.83884,311.8076,310.8857,310.1357,309.51852,309.14352,308.95602,308.8076,308.64352,308.40134,308.17477,307.92477,307.65134,307.5107,307.4951,307.4326,307.47165,307.58102,307.67477,307.6904,307.4482,306.92477,306.26852,305.6904,305.48727,305.6826,305.83884,305.9326,305.60446,304.8154,303.9404,303.3779,302.8779,302.84665,302.95602,303.16696,303.3154,303.5107,303.91696,303.95602,304.0029,304.04977,303.97946,303.83102,303.5576,303.3857,303.29196,303.3857,303.5107,303.54196,303.3154,302.65915,302.14352,301.70602,301.20602,300.8154,300.71384,300.78415,300.83884,300.78415,300.73727,300.8857,301.58102,302.22165,302.65134,302.9951,302.83102,302.5029,302.33102,302.27634,302.3154,302.33884,302.04977,301.47165,300.6982,299.9404,299.2451,298.72946,298.48727,298.15915,297.3857,296.1201,294.79196,294.2607,294.1982
